이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
유강남,23, C,2.560,109,98,821.0,778,714,60,4,99.5,8.48,0.20,,0.70,,0.07,-2.81,2.72,16.65,17.54,20.87,8.90,26.44,1.698
마차도,21, SS,1.977,133,127,1076.2,583,235,337,11,98.1,4.78,5.72,,1.24,3.03,,,,,9.99,10.74,10.68,20.67,0.956
마차도,20, SS,1.800,144,139,1180.2,618,228,380,10,98.4,4.63,8.03,,1.20,0.06,,,,,9.29,9.29,11.12,20.41,0.819
김준태,20, C,1.301,125,84,793.0,676,615,54,7,99.0,7.59,1.06,,-0.99,,-0.28,-2.84,2.23,7.37,6.54,7.36,8.21,14.75,0.577
안중열,21, C,1.017,56,41,364.2,324,292,31,1,99.7,7.97,-0.07,,0.68,,-0.04,1.92,1.46,2.96,6.91,17.16,3.72,10.63,0.661
정보근,22, C,0.958,94,67,585.2,641,592,43,6,99.1,9.76,0.68,,-1.12,,-0.22,0.99,-0.82,4.87,4.39,6.65,5.42,9.81,0.428
지시완,21, C,0.864,72,52,448.1,436,395,40,1,99.8,8.73,0.31,,0.95,,-0.04,0.02,-2.41,5.78,4.61,9.10,4.42,9.03,0.441
김준태,21, C,0.716,45,31,286.0,273,254,18,1,99.6,8.56,-0.06,,0.43,,-0.27,-1.77,1.11,5.03,4.47,11.09,3.02,7.49,0.427
정보근,23, C,0.673,51,23,228.2,216,191,24,1,99.5,8.46,-0.39,,0.61,,,1.15,-2.42,5.72,4.67,12.23,2.28,6.95,0.452
한동희,20, 3B,0.586,124,119,973.0,280,58,206,16,94.3,2.44,7.03,,-0.44,-0.39,0.44,,,,6.64,7.09,0.00,6.64,0.586
신본기,19, SS,0.572,118,108,906.2,448,161,272,15,96.7,4.30,0.17,,-1.21,-1.06,,,,,-2.10,-2.50,7.94,5.84,-0.205
노진혁,23, SS,0.559,107,95,827.0,373,142,220,11,97.1,3.94,-4.46,,1.26,1.48,,,,,-1.73,-2.20,7.50,5.77,-0.167
손성빈,23, C,0.548,44,20,201.2,180,166,13,1,99.4,7.99,1.07,,0.04,,0.01,1.54,-0.74,1.84,3.77,12.06,1.90,5.66,0.365
황성빈,23, LF,0.479,60,36,337.0,99,96,2,1,99.0,2.62,6.23,0.09,0.13,,,,,,6.44,12.54,-1.49,4.95,0.624
신윤후,24, RF,0.457,12,5,60.0,21,17,4,0,100.0,3.15,2.49,2.37,0.19,,,,,,5.05,45.41,-0.23,4.82,0.479
오윤석,19, 2B,0.387,30,24,176.1,105,44,60,1,99.0,5.31,2.58,,0.24,0.29,,,,,3.11,5.89,0.84,3.95,0.304
문규현,19, 3B,0.384,16,11,105.0,44,7,35,2,95.5,3.60,3.68,,0.09,-0.02,0.17,,,,3.92,14.11,0.00,3.92,0.384
지시완,22, C,0.374,71,48,426.1,413,388,23,2,99.5,8.68,0.15,,0.82,,-0.19,-2.33,2.75,-1.72,-0.52,-0.99,4.34,3.83,-0.050
나종덕,19, C,0.373,103,66,556.2,521,474,42,5,99.0,8.34,0.01,,-0.79,,-0.45,1.88,0.81,-2.66,-1.19,-1.64,4.99,3.81,-0.116
김민수,22, 3B,0.368,20,14,113.1,41,11,29,1,97.6,3.18,3.21,,0.10,0.35,0.12,,,,3.77,9.53,0.00,3.77,0.368
강태율,22, C,0.355,17,9,82.0,85,78,7,0,100.0,9.33,-0.03,,0.25,,-0.29,1.28,-0.77,2.36,2.80,21.20,0.84,3.64,0.273
박승욱,23, SS,0.355,22,15,134.0,73,25,47,1,98.6,4.84,2.41,,0.44,-0.39,,,,,2.47,2.89,1.20,3.67,0.239
유강남,24, C,0.351,44,39,291.0,266,243,20,3,98.9,8.13,0.11,,-0.38,,,0.11,0.62,,0.47,1.46,3.24,3.71,0.044
안권수,23, LF,0.338,60,32,312.2,99,92,4,3,97.0,2.76,6.01,-0.05,-0.91,,,,,,5.05,7.66,-1.56,3.49,0.489
정보근,19, C,0.286,15,10,89.2,79,72,7,0,100.0,7.93,0.07,,0.27,,0.02,0.22,1.14,0.37,2.08,20.00,0.84,2.92,0.204
윌슨,19, 1B,0.275,13,12,104.0,111,100,11,0,100.0,9.61,3.95,,0.10,,-0.24,,,,3.81,8.08,-1.00,2.81,0.373
조홍석,19, RF,0.268,12,7,55.1,18,17,1,0,100.0,2.93,3.21,-0.32,0.09,,,,,,2.98,10.23,-0.25,2.73,0.292
신본기,20, SS,0.264,25,4,78.0,40,12,28,0,100.0,4.62,2.38,,0.11,-0.06,,,,,2.44,4.33,0.56,3.00,0.215
한동희,21, 3B,0.264,124,116,992.1,298,89,195,14,95.3,2.58,1.97,,0.74,-0.28,0.33,,,,2.76,3.08,0.00,2.76,0.264
안권수,23, RF,0.247,27,18,157.0,47,46,1,0,100.0,2.69,2.67,0.40,0.31,,,,,,3.37,5.11,-0.82,2.55,0.326
최항,24, 2B,0.237,27,15,145.2,91,31,59,1,98.9,5.56,1.65,,0.01,0.16,,,,,1.82,7.50,0.68,2.50,0.173
허일,20, LF,0.237,27,3,71.0,21,21,0,0,100.0,2.66,3.03,-0.19,0.09,,,,,,2.94,7.06,-0.25,2.69,0.259
황성빈,24, LF,0.219,19,10,109.0,20,20,0,0,100.0,1.65,2.67,0.02,0.13,,,,,,2.82,9.03,-0.51,2.31,0.268
손성빈,24, C,0.191,18,5,74.0,64,59,4,1,98.4,7.66,-0.09,,-0.21,,0.51,-0.55,1.61,,1.27,10.16,0.74,2.01,0.120
아수아헤,19, 2B,0.186,48,43,385.2,219,96,120,3,98.6,5.04,-0.32,,0.03,0.26,,,,,-0.03,-0.10,1.93,1.90,-0.003
지시완,23, C,0.184,2,2,15.0,15,10,5,0,100.0,9.00,0.25,,0.04,,,0.40,0.71,0.36,1.75,42.10,0.14,1.90,0.170
정훈,24, 3B,0.181,2,1,11.0,6,1,5,0,100.0,4.91,2.18,,0.04,0.00,-0.32,,,,1.91,7.22,0.00,1.91,0.181
윤동희,23, RF,0.176,94,79,716.1,161,156,2,3,98.1,1.99,5.26,0.28,-0.08,,,,,,5.47,7.36,-3.65,1.82,0.530
렉스,22, LF,0.175,17,15,113.1,35,33,1,1,97.1,2.70,2.51,0.19,-0.31,,,,,,2.39,6.15,-0.60,1.79,0.234
추재현,20, CF,0.164,4,4,31.0,14,14,0,0,100.0,4.06,2.49,-0.67,0.03,,,,,,1.86,20.58,0.00,1.86,0.164
강태율,20, C,0.164,14,0,39.2,29,29,0,0,100.0,6.58,-0.01,,0.13,,,,1.20,0.22,1.54,15.87,0.31,1.85,0.136
안중열,19, C,0.161,73,42,381.2,322,286,31,5,98.4,7.48,0.19,,-1.32,,-0.25,-0.80,1.62,-1.23,-1.78,-3.52,3.43,1.65,-0.175
김동한,19, 3B,0.157,9,5,47.1,17,6,11,0,100.0,3.23,1.31,,0.04,-0.21,0.46,,,,1.60,5.50,0.00,1.60,0.157
김재유,20, CF,0.157,34,18,162.1,48,47,1,0,100.0,2.66,1.91,-0.31,0.18,,,,,,1.77,3.76,0.00,1.77,0.157
황성빈,23, RF,0.154,2,1,9.0,3,3,0,0,100.0,3.00,1.04,0.57,0.02,,,,,,1.63,3.18,-0.04,1.59,0.158
전병우,19, 1B,0.154,11,8,64.1,71,66,4,1,98.6,9.79,2.04,,0.06,,0.03,,,,2.14,10.61,-0.56,1.58,0.209
황성빈,23, CF,0.152,14,9,68.2,21,21,0,0,100.0,2.75,1.00,0.48,0.09,,,,,,1.57,3.06,0.00,1.57,0.152
레이예스,24, LF,0.150,6,6,46.0,15,14,1,0,100.0,2.93,0.84,0.97,0.05,,,,,,1.87,4.48,-0.28,1.59,0.177
김주현,21, 1B,0.150,2,1,11.0,12,11,1,0,100.0,9.82,1.66,,0.01,,,,,,1.67,30.09,-0.10,1.57,0.160
황성빈,22, RF,0.150,13,11,95.2,23,22,1,0,100.0,2.16,1.82,0.07,0.17,,,,,,2.06,2.91,-0.52,1.54,0.201
김민수,21, SS,0.150,6,2,23.0,9,5,4,0,100.0,3.52,1.56,,0.04,-0.27,,,,,1.32,2.33,0.24,1.56,0.127
노진혁,24, 3B,0.148,4,3,25.0,7,1,6,0,100.0,2.52,1.61,,0.09,-0.14,,,,,1.56,8.31,0.00,1.56,0.148
이호연,22, 3B,0.141,26,17,172.1,48,13,34,1,97.9,2.45,1.26,,0.15,0.07,-0.04,,,,1.44,2.36,0.00,1.44,0.141
렉스,22, CF,0.137,23,19,160.0,48,46,1,1,97.9,2.64,2.34,-0.67,-0.26,,,,,,1.41,3.62,0.00,1.41,0.137
배성근,22, SS,0.132,3,1,14.0,5,3,2,0,100.0,3.21,1.23,,0.02,,,,,,1.26,8.22,0.10,1.36,0.123
나경민,19, LF,0.131,5,1,16.0,6,6,0,0,100.0,3.38,1.22,0.16,0.02,,,,,,1.39,4.45,-0.05,1.34,0.136
이호연,21, 1B,0.131,1,1,9.0,11,10,1,0,100.0,11.00,1.44,,0.01,,,,,,1.45,29.75,-0.08,1.37,0.138
장두성,23, CF,0.124,15,1,43.0,10,10,0,0,100.0,2.09,1.49,-0.27,0.06,,,,,,1.28,7.38,0.00,1.28,0.124
박승욱,22, 2B,0.122,42,11,134.1,70,24,45,1,98.6,4.62,1.31,,-0.33,-0.17,,,,,0.81,1.17,0.44,1.25,0.079
김민수,21, 3B,0.117,22,14,145.1,39,9,30,0,100.0,2.42,2.13,,0.11,-0.03,-0.98,,,,1.22,2.15,0.00,1.22,0.117
강태율,21, C,0.115,18,10,79.1,67,55,8,4,94.0,7.15,-0.76,,-1.24,,,-0.06,1.60,0.92,0.46,3.47,0.74,1.20,0.044
나경민,19, CF,0.109,16,7,77.0,21,21,0,0,100.0,2.45,1.35,-0.33,0.10,,,,,,1.11,3.57,0.00,1.11,0.109
신용수,19, 2B,0.107,7,1,17.1,11,7,4,0,100.0,5.71,0.99,,0.02,,,,,,1.01,8.59,0.08,1.09,0.099
김민수,20, 3B,0.107,3,2,20.2,7,0,7,0,100.0,3.05,0.81,,0.01,0.39,,,,,1.21,58.06,0.00,1.21,0.107
신용수,21, LF,0.100,24,3,53.0,12,12,0,0,100.0,2.04,1.37,-0.17,0.05,,,,,,1.25,2.54,-0.20,1.05,0.120
나경민,19, RF,0.100,7,2,26.2,8,8,0,0,100.0,2.70,1.80,-0.73,0.05,,,,,,1.12,3.58,-0.10,1.02,0.109
이호연,22, 1B,0.098,39,13,155.0,140,127,12,1,99.3,8.07,2.66,,0.12,,-0.44,,,,2.34,3.83,-1.34,1.00,0.228
신용수,22, LF,0.090,9,4,43.0,7,7,0,0,100.0,1.47,0.85,0.16,0.06,,,,,,1.08,3.17,-0.16,0.92,0.105
김강현,20, C,0.090,5,0,9.0,6,6,0,0,100.0,6.00,0.00,,0.03,,,,0.42,0.50,0.94,27.15,0.07,1.01,0.083
김민성,24, 3B,0.088,27,18,155.1,39,13,25,1,97.4,2.20,-0.11,,0.08,0.70,0.26,,,,0.93,4.05,0.00,0.93,0.088
정대선,24, 2B,0.088,2,0,4.0,5,2,3,0,100.0,11.25,0.53,,0.01,0.38,,,,,0.92,44.06,0.01,0.93,0.087
장두성,24, CF,0.085,6,1,16.0,5,5,0,0,100.0,2.81,0.77,0.10,0.03,,,,,,0.90,5.38,0.00,0.90,0.085
배성근,20, SS,0.084,4,1,17.0,6,1,5,0,100.0,3.18,0.80,,0.02,,,,,,0.83,29.77,0.12,0.95,0.073
이주찬,21, SS,0.080,1,1,8.0,5,2,3,0,100.0,5.63,0.77,,0.01,,,,,,0.78,37.52,0.06,0.84,0.075
조홍석,19, CF,0.078,17,3,44.1,9,9,0,0,100.0,1.83,0.59,0.14,0.06,,,,,,0.80,2.73,0.00,0.80,0.078
전준우,19, CF,0.074,3,2,17.0,5,5,0,0,100.0,2.65,0.73,0.00,0.02,,,,,,0.76,0.78,0.00,0.76,0.074
정보근,24, C,0.074,30,16,153.1,147,133,14,0,100.0,8.63,0.38,,0.59,,,0.44,-2.09,,-0.68,-3.27,1.46,0.78,-0.065
강로한,20, LF,0.072,2,2,15.0,2,2,0,0,100.0,1.20,0.36,0.51,0.02,,,,,,0.89,7.99,-0.07,0.82,0.078
배영빈,23, SS,0.071,10,5,43.0,19,6,12,1,94.7,3.77,0.71,,0.14,-0.43,,,,,0.42,3.33,0.32,0.74,0.040
이호연,21, 3B,0.069,1,0,2.0,1,0,1,0,100.0,4.50,0.36,,0.00,0.36,,,,,0.72,14.87,0.00,0.72,0.069
추재현,22, LF,0.068,4,1,12.0,5,5,0,0,100.0,3.75,0.41,0.31,0.02,,,,,,0.74,3.21,-0.04,0.70,0.072
장두성,24, RF,0.067,8,0,12.2,3,3,0,0,100.0,2.13,0.82,-0.12,0.04,,,,,,0.74,4.46,-0.04,0.70,0.071
이호연,20, 1B,0.064,1,0,4.1,3,3,0,0,100.0,6.23,0.76,,0.00,,,,,,0.76,109.47,-0.04,0.72,0.067
서동욱,23, RF,0.063,5,4,25.0,5,5,0,0,100.0,1.80,0.82,-0.13,0.05,,,,,,0.74,8.19,-0.09,0.65,0.072
신본기,19, 2B,0.063,4,1,21.0,11,3,8,0,100.0,4.71,0.26,,0.03,0.27,,,,,0.56,0.67,0.08,0.64,0.055
김동한,20, 2B,0.062,15,3,46.2,27,11,16,0,100.0,5.21,0.72,,0.04,-0.22,,,,,0.54,0.94,0.17,0.71,0.047
이주찬,24, SS,0.061,3,0,5.0,4,1,3,0,100.0,7.20,0.26,,0.02,0.34,,,,,0.63,6.43,0.02,0.65,0.059
민병헌,20, RF,0.060,3,2,24.0,4,4,0,0,100.0,1.50,0.66,0.11,0.03,,,,,,0.79,1.05,-0.11,0.68,0.070
김동혁,23, RF,0.060,9,2,18.0,4,4,0,0,100.0,2.00,0.86,-0.22,0.04,,,,,,0.67,6.42,-0.05,0.62,0.065
박승욱,23, 2B,0.060,76,44,447.1,277,104,165,8,97.1,5.41,-0.83,,-1.36,0.92,,,,,-1.27,-1.49,1.89,0.62,-0.123
김민성,24, 2B,0.059,3,2,12.0,8,1,7,0,100.0,6.00,0.53,,0.04,,,,,,0.57,2.47,0.06,0.63,0.054
이대호,20, 1B,0.058,55,53,443.1,500,460,38,2,99.6,10.11,5.46,,-0.12,,-0.08,,,,5.26,5.26,-4.60,0.66,0.464
김사훈,19, C,0.057,3,0,6.0,5,5,0,0,100.0,7.50,0.00,,0.02,,,,0.27,0.27,0.56,26.67,0.02,0.58,0.054
허일,20, CF,0.056,2,2,14.0,4,4,0,0,100.0,2.57,0.62,,0.02,,,,,,0.63,1.52,0.00,0.63,0.056
손호영,24, 2B,0.055,17,14,102.1,54,22,32,0,100.0,4.75,-0.88,,0.35,0.63,,,,,0.10,0.40,0.49,0.59,0.009
신윤후,23, CF,0.054,4,1,12.0,5,5,0,0,100.0,3.75,0.95,-0.41,0.02,,,,,,0.56,2.86,0.00,0.56,0.054
황진수,19, 3B,0.053,5,0,9.1,1,0,1,0,100.0,0.96,0.19,,0.01,0.34,,,,,0.54,12.94,0.00,0.54,0.053
조홍석,19, LF,0.051,6,2,26.0,7,6,1,0,100.0,2.42,-0.10,0.72,0.03,,,,,,0.64,2.20,-0.12,0.52,0.063
나승엽,21, 1B,0.050,27,11,121.1,113,100,9,4,96.5,8.09,2.51,,-0.90,,,,,,1.61,3.86,-1.08,0.53,0.154
최항,24, 3B,0.049,2,0,3.0,1,0,1,0,100.0,3.00,0.51,,0.01,,,,,,0.52,2.13,0.00,0.52,0.049
추재현,21, RF,0.047,20,9,93.0,27,26,1,0,100.0,2.61,0.89,-0.07,0.13,,,,,,0.95,1.44,-0.46,0.49,0.091
정보근,20, C,0.046,80,57,416.1,379,349,28,2,99.5,8.15,0.24,,0.35,,-0.32,3.02,-2.66,-3.59,-2.98,-5.04,3.50,0.53,-0.263
김재유,20, RF,0.043,22,10,103.0,27,25,0,2,92.6,2.18,0.79,0.55,-0.37,,,,,,0.96,2.04,-0.47,0.49,0.085
고승민,22, RF,0.042,76,62,521.2,113,107,4,2,98.2,1.92,2.46,0.39,-0.04,,,,,,2.80,4.38,-2.37,0.43,0.273
민병헌,20, LF,0.041,6,1,20.2,7,7,0,0,100.0,3.05,0.87,-0.36,0.03,,,,,,0.53,0.71,-0.07,0.46,0.047
오윤석,19, 3B,0.036,5,1,15.1,7,3,3,1,85.7,3.52,0.23,,0.01,,0.12,,,,0.36,0.69,0.00,0.36,0.036
강로한,21, LF,0.036,2,1,11.0,7,7,0,0,100.0,5.73,0.51,-0.09,0.01,,,,,,0.42,2.89,-0.05,0.37,0.040
황성빈,24, RF,0.035,2,0,4.0,1,1,0,0,100.0,2.25,0.37,,0.01,,,,,,0.38,1.22,-0.01,0.37,0.036
안권수,23, CF,0.033,30,18,143.2,49,48,1,0,100.0,3.07,0.17,-0.02,0.19,,,,,,0.34,0.52,0.00,0.34,0.033
오선진,24, SS,0.030,1,0,2.0,1,0,1,0,100.0,4.50,0.28,,0.01,,,,,,0.29,5.26,0.02,0.31,0.028
한태양,22, 2B,0.028,2,0,5.0,1,1,0,0,100.0,1.80,0.28,,0.01,,,,,,0.28,1.07,0.01,0.29,0.027
배영빈,23, 3B,0.028,2,0,2.0,2,1,1,0,100.0,9.00,0.29,,0.01,0.00,,,,,0.29,2.35,0.00,0.29,0.028
추재현,21, CF,0.028,47,39,315.1,78,77,0,1,98.7,2.20,0.58,-0.12,-0.18,,,,,,0.29,0.44,0.00,0.29,0.028
김동한,20, SS,0.027,1,0,1.2,1,1,0,0,100.0,5.40,0.28,,0.00,,,,,,0.29,0.50,0.02,0.31,0.025
김동한,20, 3B,0.027,38,6,104.0,30,7,22,1,96.7,2.51,0.24,,0.06,0.14,-0.15,,,,0.30,0.53,0.00,0.30,0.027
조세진,22, LF,0.024,9,4,49.0,11,11,0,0,100.0,2.02,0.67,-0.29,0.07,,,,,,0.46,1.69,-0.21,0.25,0.045
안치홍,23, 2B,0.023,93,87,699.0,386,175,209,2,99.5,4.94,-5.60,,2.51,-0.25,,,,,-3.34,-3.98,3.58,0.24,-0.323
지성준,20, C,0.023,3,3,19.1,25,21,4,0,100.0,11.64,0.37,,0.06,,,-0.18,-1.18,0.92,0.00,-0.11,0.26,0.26,0.000
오선진,24, 3B,0.022,4,1,14.0,4,0,4,0,100.0,2.57,0.18,,0.05,,,,,,0.23,4.20,0.00,0.23,0.022
박승욱,24, 2B,0.021,17,4,51.0,34,15,19,0,100.0,6.00,-0.21,,0.18,,,,,,-0.04,-0.09,0.26,0.22,-0.003
레이예스,24, CF,0.020,1,0,2.0,2,2,0,0,100.0,9.00,0.21,,0.00,,,,,,0.21,0.51,0.00,0.21,0.020
